SpecID,SubjectName,SortOrder,Variety,CardNumber,CardNumberSort,GradeN0,Grade1Q,Grade1,Grade1_5Q,Grade1_5,Grade2Q,Grade2,Grade2_5,Grade3Q,Grade3,Grade3_5,Grade4Q,Grade4,Grade4_5,Grade5Q,Grade5,Grade5_5,Grade6Q,Grade6,Grade6_5,Grade7Q,Grade7,Grade7_5,Grade8Q,Grade8,Grade8_5,Grade9Q,Grade9,Grade10,Total,GradeTotal,HalfGradeTotal,QualifiedGradeTotal
5903501,Zubat,0.0,,001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
3283491,Zubat,0.0,1st Edition,001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,0
5903508,Zubat,0.0,,002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
4101447,Zubat,0.0,1st Edition,002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,6,0,0
5903510,Golbat,0.0,,003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,6,0,0
2013733,Golbat,0.0,1st Edition,003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,10,0,0
5903513,Ledyba,0.0,,004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4101238,Ledyba,0.0,1st Edition,004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0
5903517,Ledyba,0.0,,005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
4101242,Ledyba,0.0,1st Edition,005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0
5903519,Ledian,0.0,,006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0
4101245,Ledian,0.0,1st Edition,006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,0,0
2491729,Ledian-Holo,0.0,,007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,6,24,34,34,0,0
2263369,Ledian-Holo,0.0,1st Edition,007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,6,0,0,20,73,104,104,0,0
5903522,Crobat,0.0,,008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0
4101261,Crobat,0.0,1st Edition,008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,7,0,0
2178315,Crobat-Holo,0.0,,009,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,18,27,27,0,0
2227733,Crobat-Holo,0.0,1st Edition,009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,4,0,0,30,79,119,119,0,0
5903527,Yanma,0.0,,010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0
4101265,Yanma,0.0,1st Edition,010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
5903531,Pineco,0.0,,011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0
2013713,Pineco,0.0,1st Edition,011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,9,0,0
5903532,Pineco,0.0,,012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2901339,Pineco,0.0,1st Edition,012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,4,0,0
5903535,Forretress,0.0,,013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2901332,Forretress,0.0,1st Edition,013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,9,9,0,0
5903537,Shuckle,0.0,,014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0
4101276,Shuckle,0.0,1st Edition,014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0
5903540,Heracross,0.0,,015,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
